name,category,tags,desc
Electronics Stores,Business and Economic,"retail, sale, sell, license, store, electronics, ...",A list of electronics stores that have a current DCA license as of the run date.
Map of NYC Fire Houses,Government,"fire department, fdny, fd, fires, community board, ...",Listing of all the fire houses in New York City
School District Breakdowns,Education,"boundary, district, community, demography, ...",Demographic statistics broken down by school districts
NYC OpenData Catalog,Other,"data sets, list, data",This is the current list of all the datasets available on NYC Open Data
NYPD Public Indicators,Public Safety,"mayor's office of operations, operations, ops, ...",NYPD crime statistics by precinct (CPR)
Real-Time Traffic Speed Data,Transportation,"vehicles, car, bus, automobile, truck","NYCDOT's Traffic Management Center (TMC) maintains a map of traffic speed detectors throughout the City. The speed detector themselves belong to various city and state agencies. The Traffic Speeds Map is available on the DOT's website (http://nyctmc.org/ ). This data feed contains 'real-time' traffic information from locations where NYCDOT picks up sensor feeds within the five boroughs, mostly on major arterials and highways. NYCDOT uses this information for emergency response and management."
Sidewalk Cafes,Business and Economic,"restaurant, license, café, food, meal, sidewalk, ...",A list of sidewalk cafes that have a current DCA license as of the run date.
Subway Entrances,Transportation,"location, map, cartography, basemap, transit, ...",Map of NYC Subway Entrances
NYC Social Media Usage,Media,"twitter, facebook, nyc, agency, organization, data","Twitter and Facebook statistics from various NYC agencies and organizations.

Update Frequency: As required"
2009 Popular Birth Names (Female),Health,"names, women, female, popular, health, girls",Popular NYC female birth names
Map of Electricity Consumption by ZIP Code - 2010,Environmental Sustainability,"electricity, energy, environment, planning, power, ...","2010 electricity consumption in kWh and GJ, by ZIP code, building type, and utility company."
NYC Landmarks,Cultural Affairs,"geographic, location, map, cartography, historic, ...","Landmarks Preservation Commission point shapefile. A point shapefile of NYC Landmarks Preservation Commission individual, interior and scenic landmarks as well as points of all buildings within historic districts; for use in Geographic Information Systems (GIS)."
DYCD  after-school programs: Out Of School Time,Education,"education, services, youth, community, development, ...","Facilities in New York City that offer ""Out of School Time"" after-school programs.  Managed by the Department of Youth and Community Development (DYCD).
Update Frequency: Annually"
Restaurant Inspection Results,Health,"",NYC restaurant inspection results
DYCD after-school programs: NDA Educational High School Progams,Education,"education, services, youth, community, development, ...","Facilities in New York City, by agency and site, that offer “Neighborhood Development Area (NDA) Educational High School Programs” after-school  programs for children in High"
DYCD after-school programs: Neighborhood Development Area (NDA) Family Support,Education,"education, services, youth, community, development, ...","A database of facilities in New York City, by agency and site, that offer NDA (Neighborhood Development Area) after-school “Family Support Programs,” including immigrant services, legal assistance, domestic violence, health, housing and literacy programs for adults, seniors, young adults and children of all ages"
DYCD after-school programs: Reading And Writing Literacy Programs,Education,"education, services, youth, community, development, ...","Facilities in New York City, by agency and site, that offer after-school programs and resources for adult and adolescent literacy, family literacy, and English as a Second Language (ESOL) programs.
Update Schedule: Annually"
Map of Monuments,Facilities and Structures,"map, location, cartography, site, art, public, ...",GIS Map of Permanent Art and Monuments in New York City Department of Parks & Recreation properties.
IPIS (Integrated Property Information System),Facilities and Structures,"property, finance, lease, agency, city-owned, ...",Database of City-owned properties and private properties that the City leases for City agency use.
NYC Service: Volunteer Opportunities,Community Service,"volunteering, volunteers, volunteer opportunities, ...","A list of volunteer opportunities, organized by event, category of event type, organization and location.
Update Frequency: As needed"
Active Building Jobs,Government,"jobs, construction, position, filing, file, filed, ...","List of Active Jobs Filed - In the City of New York, most applications to do construction must be filed with the Department of Buildings by a New York State licensed Professional Engineer (PE) or Registered Architect (RA). Most applications require the submission of plans along with forms. The plans and forms are usually submitted to the Department on behalf of the building owner."
Times Square Entertainment Venues,Business and Economic,"times square alliance, times square, crossroads, ...","Directory of entertainment venues in the Times Square area

Update Schedule: As required"
Yellow Medallion Taxicabs - Vehicles,Transportation,"business, taxi, vehicle, transportation, license","Yellow Medallion Taxicabs are the official taxis of New York City. There are currently about 13,000 licensed taxicabs and they provide transportation for passengers via street hails. Medallion Taxicab Drivers face a unique set of requirements in order to be licensed to drive a yellow taxicab. 

This list includes detailed yellow medallion vehicle information, including driver names, license number, driver record status, DMV license plate, VIN, hybrid or stretch limousine info, model year, type of medallion, and medallion agent number."
Google map view of 311 reports,Other,"311, 311 service requests, 2010, 2011, ...",All 311 Service Request from 2010 to Present. Starting in November 2011 the data will be updated on a daily basis.
School Zones 2011-2012,Education,"department of education, education, board of ed, ...",Files in an ESRI Geodatabase format.  They are broken down by elementary school zones (NYC_E) and middle school zones (NYC_M)
Birth Rate by Mother's Age,Health,"birth rate, mother age, labor, baby, data, health","Rate of birth sorted by the age range of the mother.

Update Schedule: As required"
Lower Manhattan Retailers,Business and Economic,"manhattan, downtown, retail, block, lot, vendor, ...",Listing of lower Manhattan retailers
"Demographic, Social, Economic, and Housing Profiles by Community District/PUMA",Statistics,"public use micro data sample area, census, ...","Selected demographic, social, economic, and housing estimates data by community district/PUMA (Public Use Micro Data Sample Area). Three year estimates of population data from the Census Bureau's American Community Survey"
Property Data (Buildings Information System),Property,"property, building, jurisdiction",List of NYC Properties under DOB jurisdiction
Laundromats,Business and Economic,"laundry, license, laundromat, clothing, washing, ...",A list of laundry facilities that have a current DCA license as of the run date.
HPD Registration,Construction and Housing,"hpd, housing preservation and development, ...","HPD Registration.

Update Schedule: As required"
Neighborhood Names GIS,Community Service,"geographic, location, map, cartography, ...",GIS data: neighborhood labels as depicted in New York City: A City of Neighborhoods
Employment Opportunities,Government,"",List of current jobs at DDC
Subway Stations,Transportation,"location, map, cartography, basemap, transit, ...",City Subway Stations
Natural Gas Consumption by ZIP Code - 2010,Environmental Sustainability,"energy, gas, power, environment, utilities, ...","2010 Natural Gas consumption in therms and GJ, by ZIP code, building type, and utility company."
New York City Health and Hospitals Corporation (HHC) : Facilities,Health,"facility, facilities, health, patient, healthcare, ...","This is a list of the 11 acute care hospitals, four skilled nursing facilities, six large diagnostic and treatment centers and community-based clinics that make up the New York City Health and Hospitals Corporation, NYC's public hospital system. HHC is a $6.7 billion integrated healthcare delivery system which serves 1.3 million New Yorkers every year and more than 450,000 are uninsured. It provides medical, mental health and substance abuse services.
Update Frequency: As needed"
LION: single line street base map GIS: MapInfo Table,Government,"transportation, geographic, location, map, ...","A single line street base map representing the city's streets and other linear geographic features, along with feature names and address ranges for each addressable street segment."
Museums and galleries,Cultural Affairs,"",NYC and Co. museums and galleries
Graduation Outcomes - Classes Of 2005-2010 By Borough,Education,"","Graduation Outcomes - 4 Year Outcome - Cohorts of 2001 through 2006 (Classes of 2005 through 2010) 

•The New York State calculation method was first adopted for the Cohort of 2001 (Class of 2005). The cohort consists of all students who first entered 9th grade in a given school year (e.g., the Cohort of 2006 entered 9th grade in the 2006-2007 school year). Graduates are defined as those students earning either a Local or Regents diploma and exclude those earning either a special education (IEP) diploma or GED. For the most recent cohort, graduation rates as of both June and August (including summer graduates) are reported. 

•Records with cohorts of 20 students or less are suppressed. August outcomes are only reported for the most recent cohort. 

•August outcomes include all June and August graduates. 

•In school-level reporting, students who were in a school for less than 5 months are not included in the school’s cohort, but are included in citywide totals. 

•School level results are not presented for District 79 schools, but their outcomes are included in citywide totals."
2010-2011 Class Size - School-level detail,Education,"","Average class sizes for each school, by grade and program type (General Education, Self-Contained Special Education, Collaborative Team Teaching (CTT)) for grades K-9 (where grade 9 is not reported by subject area), and for grades 5-9 (where available) and 9-12, aggregated by program type (General Education, CTT, and Self-Contained Special Education) and core course (e.g. English 9, Integrated Algebra, US History, etc.).

Class size data is based on January 28, 2011 data.

*Grade 9 Official Class data is included for 0K-09 schools. Core Course information for these sections is not reported."
Alternate Side Parking,Transportation,"","RSS Feed displaying alternate side parking updates

Updated daily"
Zip Code Boundaries,Social Services,"geographic, location, map, cartography, zip, code, ...",Polygon representing the boundary of the zip codes in the city.
Property Valuation and Assessment Data,Property,"finance, property, tax, value, valuation, assess, ...",Property valuation and assessment data (Condensed Assessed Value Roll)
Percentage of People Residing in a School District Who Receive Public Assistance,Social Services,"boundary, district, community, demography, ...",Demographic statistics broken down by school districts
NYC Electronic Stores Map,Business and Economic,"retail, sale, sell, license, store, electronics, ...",A list of electronics stores that have a current DCA license as of the run date.
Q1 2010 Real Estate Market Indicators,Property,"manhattan, downtown, real estate, land, market, ...",Statistical data on the lower Manhattan real estate market
Oil Boilers - Detailed Fuel Consumption and Building Data,Facilities and Structures,"energy, power, environment, planning, construction, ...","Detailed data on NYC buildings with oil boilers, including fuel consumption, BBL, building owner/management info, deadline for complying with Audit and Retrocommissioning Law, building type and year constructed, number of floors and residential units, Condo/Coop status, and more."
Museums and Galleries,Cultural Affairs,"museums, galleries, art, culture, museo",Museums and Galleries
Electric Consumption by ZIP Code - 2010,Environmental Sustainability,"electricity, energy, environment, planning, power, ...","2010 electricity consumption in kWh and GJ, by ZIP code, building type, and utility company."
Directory of Temporary Public Art,Cultural Affairs,"",Current temporary art exhibitions and installations in New York City Department of Parks & Recreation properties.
Calendar of Special Events,Events,"",Extensive listing of events taking place on New York City Department of Parks & Recreation properties that are open to the public.
Top Ten Elevator Offenders,Facilities and Structures,"dob, department of buildings, buildings, ...",Top Ten Elevator Offenders
"Demographic, Social, Economic, and Housing Profiles by Borough",Statistics,"","Selected demographic, social, economic, and housing estimates data citywide and by borough. Three year estimates of population data from the Census Bureau's American Community Survey"
School Point Locations,Education,"department of education, education, board of ed, ...","This is an ESRI shape file of school point locations based on the official address.  It includes some additional basic and pertinent information needed to link to other data sources. It also includes some basic school information such as Name, Address, Principal, and Principal’s contact information."
OEM: Hurricane Evacuation Zones,Public Safety,"hurricane, evacuation, zone, emergency, storm, ...","This is a map you can use to determine whether you live in an evacuation zone. If your address falls into one of the City's hurricane evacuation zones, you may have to evacuate during a hurricane. 

The City strongly encourages evacuees first to seek shelter with friends or family located outside the evacuation zones


Zone A:
Residents in Zone A face the highest risk of flooding from a hurricane's storm surge. Zone A includes all
low-lying coastal areas and other areas that could experience storm surge from ANY hurricane making
landfall close to New York City.



Zone B:
Residents in Zone B may experience storm surge flooding from a MODERATE (Category 2 and higher) hurricane.



Zone C: 
Residents in Zone C may experience storm surge flooding from a MAJOR (Category 3 & 4) hurricane making landfall
just south of New York City. A major hurricane is unlikely in New York City, but not impossible.



No Zone:
Residents who do not live in a hurricane evacuation zone face are unlikely to experience of storm surge flooding
from a hurricane."
Current Medallions,Transportation,"transportation, taxi, limousine, medallion",Spreadsheet of all TLC current medallions
Political & Election Districts GIS: Election Districts,Government,"geographic, voting, location, map, cartography, ...",GIS data: Boundaries of Election Districts
Map of Basketball Courts,Facilities and Structures,"park, parks, nature, recreation, location, map, ...",GIS Map of Basketball Courts in New York City Department of Parks & Recreation properties.
Street Tree Census (Brooklyn),Environmental Sustainability,"park, parks, nature, recreation, tree, census, ...",Brooklyn street tree census inventory
2013 Campaign Contributions,Government,"finance, campaign finance board, cfb, nyccfb, ...",A listing of campaign contributions for candidates for City office during the 2013 election cycle
2010 School Survey,Education,"department of education, education, board of ed, ...","2010 school survey with ratings in categories such as parental academic expectations, teacher academic expectations, student engagement, safety, and other categories"
Elevation points,Other,"geographic, location, map, cartography, basemap, ...",Planimetric basemap layer containing elevation points.
Historic district maps,Cultural Affairs,"geographic, location, map, cartography, historic, ...",Landmarks Preservation Commission historic districts. A polygon shapefile of NYC Landmarks Preservation Commission historic districts for use in Geographic Information Systems (GIS).
Directory of Basketball Courts,Facilities and Structures,"",Basketball Courts in New York City Department of Parks & Recreation properties.
Cultural Institutions by block and lot,Cultural Affairs,"block, lot, culture, cultural, art, history, dance, ...",Listing of cultural institutions by block and lot
NYPD,Other,"311, 311 service requests, 2010, 2011, ...",All 311 Service Request from 2010 to Present. Starting in November 2011 the data will be updated on a daily basis.
NYC Women's Resource Network Database,Women’s Issues,"women, woman, family, families, resource, network","The NYC Women's Resource Network is a free, user-friendly database of over 1,000 nonprofit organizations and governmental agencies that work to advance and benefit women and families in New York City.  A user can tailor their search by keyword, category, and/or borough to receive a customized listing of organizations that address their needs."
AP (College Board) 2010 School Level Results,Education,"","New York City school level College Board AP results for 2010.  

Records with 5 or fewer students are suppressed. 

Students are linked to schools by identifying which school they attend when registering for a College Board exam. A student is only included in a school’s report if he/she self-reports being enrolled at that school. 

Data collected and processed by the College Board."
Community Health Survey (GIS data) 2003_2008,Health,"health, safety, geographic, map, cartography, ...","Provides Community Health Survey aggregated city-wide rates by United Hospital Fund neighborhoods and two Boundaries files. These are GIS data The rates cover a number of health topics including: general health status, health care access, cardiovascular health, diabetes, asthma, immunizations, mental health, smoking, second-hand smoke, obesity, commuting patterns, physical activity, cancer screening, HIV, sexual behavior, birth control, drug use, and domestic violence."
Inmate Stabbing. Slashing Incidents,Statistics,"corrections, jail, prison, inmate, facility, ...","Inmate stabbing/slashing incidents*

*  Inmate Stabbing/Slashing Incidents: The number of incidents involving a stabbing and/or slashing. Though rare, a single incident may involve multiple stabbing and/or slashing inmate victims."
Times Square Food & Beverage Locations,Business and Economic,"times square alliance, times square, crossroads, ...",Directory of food and beverage venues in the Times Square area
"Open Spaces (Courts, Tracks, Cemetery Outlines)",Social Services,"geographic, location, map, cartography, park, open, ...","Planimetric basemap polygon layer containing open space features, such as courts, tracks, cemetery outlines, etc."
Directory of Hiking Trails,Facilities and Structures,"",Hiking trails in New York City Department of Parks & Recreation properties.
"Birth Rate by Mother’s Age, 2007",Health,"birth rate, mother age, labor, baby, data, health","Rate of birth sorted by the age range of the mother.

Update Schedule: As required"
Directory of Eateries,"","dpr, directory, eateries, directory of eateries, ...","Eateries in in New York City Department of Parks & Recreation properties including snack bars, food carts, mobile food trucks,  and restaurants."
Community District Breakdowns,Government,"boundary, district, community, demography, ...",Demographic statistics broken down by community districts
NYC School Survey - 2011,Education,"","Every year, all parents, all teachers, and students in grades 6 - 12 take the NYC School Survey. The survey ranks among the largest surveys of any kind ever conducted nationally. 

Survey results provide insight into a school's learning environment and contribute a measure of diversification that goes beyond test scores on the Progress Report. NYC School Survey results contribute 10% - 15% of a school's Progress Report grade (the exact contribution to the Progress Report is dependant on school type). Survey questions assess the community's opinions on academic expectations, communication, engagement, and safety and respect. School leaders can use survey results to better understand their own school's strengths and target areas for improvement. 

The NYC School Survey helps school leaders understand what key members of the school community say about the learning environment at each school. The information captured by the survey is designed to support a dialogue among all members of the school community about how to make the school a better place to learn. 

New York City parents, students, and teachers reached new all-time participation highs on the 2011 School Survey. 960,191 surveys were submitted."
NYS Math Test Results By Grade 2006-2011 - School Level - All Students,Education,"","New York City Results on the New York State Mathematics Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
In 2006, NYSED treated District 75 students as a distinct geographic district. For 2007-2011, District 75 students are represented in their home districts and boroughs. Spreadsheets for District and Borough do not include District 75 students in 2006.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency.

Rows are suppressed (noted with ‘s’) if the number of tested students was 5 or fewer. 
Prior to 2011, the mean scale scores for ‘All Grades’ were not calculated."
NYC City Hall Library Catalog,Library,"library, catalog, catalogue, report, study, ...",The City Hall Library is New York City's official depository for all agency published reports and studies. More info can be found at http://nyc.gov/html/records/html/about/chlibrary.shtml
Broadway Events Calendar,Events,"tourism, entertainment, culture, media, recreation",Broadway Events
311 Service Requests 2009,Other,"311, 311 service requests, 2009, ...",All 311 Requests from year 2009. This is historical data and will not be updated.
Brooklyn Public Library Catalog,Library,"library, catalog, catalogue, brooklyn, book, ...","Brooklyn Public Library Catalog, with Call #, Author, Title, Edition, Pub Info, Standard #.  Data delimiter is “|”."
Zoning GIS Data: ESRI Geo-database,Government,"zoning, geographic, location, map, cartography, ...","A data set which includes features representing the city's zoning districts, commercial overlay districts, special purpose districts and approximate locations for restrictive/environmental declarations.   BYTES of the BIG APPLE"
Parking Facilities,Facilities and Structures,"parking, license, parking lot, lot, park",A list of parking facilities that have a current DCA license as of the run date.
School Progress Reports - All Schools - 2009-10,Education,"","2009/10 Progress Report results for all schools (data as of 2/2/2011)

Peer indexes are calculated differently depending on School Level.  Schools are only compared to other schools in the same School Level (e.g., Elementary, K-8, Middle, High, Transfer)

1) Elementary, K-8, K-3, K-2 - peer index is a value from 0-100.  We use a composite demographic statistic based on % ELL, % SpEd, % Title I free lunch, and % Black/Hispanic.  Higher values indicate student populations with higher need.

2) Middle - peer index is a value from 1.00-4.50.  For middle schools, we use the average 4th grade proficiency ratings in ELA and Math and the % SpEd. Lower values indicate student populations with higher need.

3) High School - peer index is a value from 1.00-4.50. For high schools, we use the average 8th grade proficiency, the % SpEd, the % Self-contained, and the % overage. Lower values indicate student populations with higher need."
911 Receiving Hospitals,Public Safety,"map, location, cartography, emergency, oem, ...","This data set shows the location of  911 receiving hospitals in New York City. 911 receiving hospitals are those that receive patients from ambulances dispatched by EMS.  911 receiving hospitals must fulfill criteria set by EMS, including an emergency room staffed by experienced emergency physicians, specialists on call 24 hours a day; an intensive care unit; and various levels of staffing and equipment availability."
Union Square Partnership (USP) Business List,Business and Economic,"union square partnership, usp, business, directory, ...",Directory of businesses in the Union Square area
Greenthumb,Environmental Sustainability,"geographic, location, map, cartography, basemap, ...",Greenthumb
NYC Civil Service Titles,Business and Economic,"civil, service, civil service, title",List of civil service titles used by agencies throughout the City
Projects in construction,Facilities and Structures,"school, construction, authority, sca, capital, ...",New school projects (Capacity) and Capital Improvement Projects (CIP) currently under Construction.
Street Tree Census (Manhattan),Environmental Sustainability,"park, parks, nature, recreation, tree, census, ...","Manhattan street tree census inventory

Update Frequency: As Needed"
Street name Dictionary,Transportation,"street, street name, street code, dictionary, snd, ...",The Street Name Dictionary (SND) contains street names and street codes for New York City.  Street names (which include names of other geographic features as well) are associated to street codes.  Alias street names and variant spellings are related through a street code hierarchy.
Weekday Traffic Updates,Transportation,"transportation, traffic, update, travel, weekday",RSS Feed displaying weekday traffic updates
federal stimulus not spent,Government,"mayor's office of operations, operations, ops, ...",Data on the usage of stimulus/recovery funds provided through the American Recovery and Reinvestment Act of 2009 (ARRA)
Sidewalk Features,Facilities and Structures,"geographic, location, map, cartography, sidewalk",Planimetric basemap polygon layer containing sidewalk features.
"School, Health, Fire & Police GIS: Police Precincts",Public Safety,"geographic, location, map, cartography, safety, ...",GIS data: Boundaries of Police Precincts
311 Service Requests for 2008,Other,"311, 311 service requests, 2008, ...",311 Service Requests for 2008. This is historical data and will not be updated.
DOF: Condominium comparable rental income – Manhattan - FY 2010/2011,Property,"department of finance, finance, dof, ...","The Department of Finance (DOF) is required by NY State law to value condominiums or cooperatives as if they were residential rental apartment buildings.   DOF uses income information from rental properties similar in physical features and location to the condominiums or cooperatives. DOF applies this income data to the condominium or cooperative and determine its value in the same way DOF values rental apartment buildings.
Update Schedule: Annually"
School Attendance And Enrollment By District - 2010-11,Education,"","2010- 11 Attendance & Enrollment (Unaudited) by District as of December 31, 2010

Charter Schools, Community-Based Organizations (Pre-K), Home Instruction, and Hospital Schools are not included.
Attendance averages based on each districts associated data."
Areas of Interest GIS,Health,"geographic, location, map, cartography, ...",GIS data: Areas of interest labels as depicted in New York : A City of Neighborhoods
Energy Efficiency Projects,Environmental Sustainability,"retrofit, energy, efficient, efficiency, project, ...","Since the release of PlaNYC in 2007, the number of DCAS-managed energy efficiency retrofit projects has increased significantly.  This dataset lists the PlaNYC-funded retrofit projects that are complete or in progress.  The earlier projects focused on relatively simple retrofits, such as lighting upgrades, but the agency has been transitioning to more comprehensive projects, so the projects in progress tend to have greater cost and carbon reduction impacts."
Health and Nutrition Examination Survey Results,Health,"","The New York City Health and Nutrition Examination Survey (NYC HANES) is a community-based health survey conducted by the New York City Department of Health and Mental Hygiene. Data was collected from June through December 2004. NYC HANES measured key health indicators in a sample of 1,999 randomly selected NYC adult residents through a detailed health interview and brief physical exam.  NYC HANES is modeled after a similar national survey - the National Health and Nutrition Examination Survey (NHANES).  SAS datasets (along with codebooks, documentation and sample SAS programs to merge datasets and analyze the data) have been provided.  Correct analysis of NYC HANES data requires computer software able to adjust for the survey’s complex design, such as SAS-callable SUDAAN (sample code provided) or survey modules in SAS, STATA or SPSS.   "
MINY Vendors,Business and Economic,"location, map, cartography, basemap, miny, vendor, ...",MINY Vendors
NYC Budget Expense All Funds,Finances,"expense, fund, budget, fiscal, finance, year, ...",Data set contains expense budgets by agency for actual fiscal years and five financial plan fiscal years in All funds.
Commercial Noise Complaints MANCB03,Other,"311, 311 service requests, 2010, 2011, ...",All 311 Service Request from 2010 to Present. Starting in November 2011 the data will be updated on a daily basis.
"Birth Rate By Mother's Neighborhood Of Residence, 2007",Health,"birth, labor, neighborhood, 2007","Rate of birth's by mother's neighborhood of residence

Update Schedule: As required"
Manhattan Parks,Facilities and Structures,"park, parks, nature, recreation, location, map, ...",GIS Map of New York City Department of Parks & Recreation parks.
Bicycle Parking,Transportation,"","KML Feed displaying bicycle parking racks

Updated Schedule: As required"
DOF Statement of account (Manhattan),Property,"department of finance, finance, dof, manhattan, ...","Name of responsible party, and charges against a property for the period of issuance"
LPC Landmark Points,Cultural Affairs,"geographic, location, map, cartography, basemap, ...",Landmark Points
